Index,Deci,Demod
"464.0","-1616.0","198.0"
"465.0","-976.0","133.0"
"466.0","-256.0","66.0"
"467.0","448.0","20.0"
"468.0","992.0","5.0"
"469.0","1376.0","19.0"
"470.0","1536.0","48.0"
"471.0","1440.0","71.0"
"472.0","1104.0","74.0"
"473.0","528.0","54.0"
"474.0","-176.0","24.0"
"475.0","-944.0","6.0"
"476.0","-1632.0","18.0"
"477.0","-2192.0","66.0"
"478.0","-2512.0","135.0"
"479.0","-2640.0","202.0"
"480.0","-2512.0","243.0"
"481.0","-2112.0","239.0"
"482.0","-1584.0","197.0"
"483.0","-912.0","129.0"
"484.0","-208.0","62.0"
"485.0","448.0","18.0"
"486.0","960.0","4.0"
"487.0","1360.0","19.0"
"488.0","1536.0","47.0"
"489.0","1408.0","69.0"
"490.0","1072.0","72.0"
"491.0","528.0","52.0"
"492.0","-192.0","22.0"
"493.0","-928.0","6.0"
"494.0","-128.0","0.0"
"495.0","1328.0","-1.0"
"496.0","1312.0","21.0"
"497.0","-128.0","3.0"
"498.0","-1872.0","17.0"
"499.0","-2656.0","57.0"
"500.0","-1792.0","101.0"
"501.0","80.0","95.0"
"502.0","1344.0","56.0"
"503.0","1216.0","12.0"
"504.0","-288.0","3.0"
"505.0","-1984.0","19.0"
"506.0","-2624.0","61.0"
"507.0","-1648.0","101.0"
"508.0","256.0","91.0"
"509.0","1456.0","51.0"
"510.0","1136.0","11.0"
"511.0","-464.0","5.0"
"512.0","-2096.0","22.0"
"513.0","-2592.0","65.0"
"514.0","-1472.0","102.0"
"515.0","384.0","88.0"
"516.0","1488.0","45.0"
"517.0","1040.0","10.0"
"518.0","-672.0","4.0"
"519.0","-2224.0","27.0"
"520.0","-2576.0","71.0"
"521.0","-1328.0","106.0"
"522.0","544.0","86.0"
"523.0","1536.0","42.0"
"524.0","912.0","8.0"
"525.0","-816.0","5.0"
"526.0","-2320.0","29.0"
"527.0","-2512.0","75.0"
"528.0","-1136.0","104.0"
"529.0","704.0","82.0"
"530.0","1520.0","37.0"
"531.0","784.0","6.0"
"532.0","-944.0","7.0"
"533.0","-2400.0","31.0"
"534.0","-2448.0","80.0"
"535.0","-960.0","102.0"
"536.0","848.0","78.0"
"537.0","1536.0","33.0"
"538.0","624.0","5.0"
"539.0","560.0","32.0"
"540.0","1088.0","33.0"
"541.0","1440.0","36.0"
"542.0","1552.0","55.0"
"543.0","1376.0","74.0"
"544.0","976.0","71.0"
"545.0","400.0","47.0"
"546.0","-320.0","18.0"
"547.0","-1056.0","5.0"
"548.0","-1744.0","24.0"
"549.0","-2256.0","77.0"
"550.0","-2592.0","149.0"
"551.0","-2624.0","213.0"
"552.0","-2432.0","245.0"
"553.0","-2000.0","233.0"
"554.0","-1440.0","182.0"
